step,loss
75812,0.0154
75914,0.0153
75919,0.0153
76000,0.0155
76102,0.0158
76204,0.0153
76306,0.0153
76319,0.0153
76392,0.0153
76494,0.0154
76596,0.0155
76698,0.0153
76719,0.0155
76784,0.0155
76886,0.0158
76988,0.0153
77090,0.0155
77119,0.0156
77176,0.0156
77278,0.0155
77380,0.0149
77482,0.0152
77519,0.0155
77568,0.0155
77670,0.0152
77772,0.0157
77874,0.0155
77919,0.0155
77966,0.0155
78019,0.0152
78058,0.0152
78160,0.015
78262,0.0152
78364,0.0156
78419,0.0154
78450,0.0154
78552,0.0157
78654,0.0154
78756,0.0155
78819,0.0154
78842,0.0154
78944,0.0152
79046,0.0152
79148,0.0154
79219,0.0155
79234,0.0155
79336,0.0155
79438,0.0155
79540,0.0155
79619,0.0153
79624,0.0153
79726,0.0152
79828,0.0151
79930,0.0156
79999,0.0155
80016,0.0155
80115,0.0153
80217,0.0156
80319,0.015
80416,0.0157
80507,0.0153
80609,0.0156
80711,0.0151
80813,0.0156
80816,0.0156
80899,0.0156
81001,0.0153
81103,0.0153
81205,0.0155
81216,0.0155
81291,0.0155
81393,0.0151
81495,0.0153
81597,0.0149
81616,0.0155
81696,0.0155
81723,0.0153
81795,0.0153
81897,0.0149
81999,0.0153
82101,0.015
82123,0.015
82187,0.015
82289,0.0154
82391,0.0154
82493,0.015
82523,0.0151
82579,0.0151
82681,0.0152
82783,0.0156
82885,0.0153
82923,0.0152
82971,0.0152
83073,0.0155
83175,0.0155
83277,0.0153
83323,0.0153
83363,0.0153
83465,0.0152
83567,0.0155
83669,0.0156
83723,0.0152
83755,0.0152
83857,0.0154
83959,0.0156
84061,0.0156
84123,0.0153
84147,0.0153
84249,0.0151
84351,0.0154
84453,0.0155
84523,0.0152
84539,0.0152
84641,0.0153
84743,0.0154
84845,0.0152
84923,0.0152
84930,0.0152
84999,0.0152
85031,0.0153
85133,0.0152
85235,0.0149
85321,0.0153
85361,0.0153
85400,0.0154
85502,0.0153
85604,0.0152
85706,0.0155
85761,0.0155
85792,0.0155
85894,0.0155
85996,0.0151
86098,0.0152
86161,0.0152
86184,0.0152
86286,0.0155
86388,0.0156
86490,0.0157
86561,0.0153
86576,0.0153
86678,0.0152
86780,0.0154
86882,0.015
86961,0.0154
86968,0.0154
87070,0.0151
87172,0.0155
87274,0.0158
87361,0.015
87462,0.0152
87564,0.0153
87666,0.0153
87761,0.0152
87854,0.0152
87956,0.0155
88058,0.0154
88160,0.0154
88161,0.0154
88246,0.0155
88348,0.0153
88450,0.0152
88552,0.0155
88561,0.0155
88638,0.015
88740,0.0155
88842,0.0155
88944,0.0152
88961,0.0152
89030,0.0156
89132,0.0155
89234,0.015
89336,0.0154
